"pli-tv-bi-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bi-pm:55.5","pli-tv-bu-vb-np8:1.1.36"
"pli-tv-bi-pm:56.0","Relinquishment With Confession 19: Requesting Fine Robes From a Combined Robe Fund "
"pli-tv-bi-pm:56.1","pli-tv-bu-vb-np9:1.36.1"
"pli-tv-bi-pm:56.2","pli-tv-bu-vb-np9:1.37"
"pli-tv-bi-pm:56.3","pli-tv-bu-vb-np9:1.38"
"pli-tv-bi-pm:56.4","pli-tv-bu-vb-np9:1.39"
"pli-tv-bi-pm:56.5","pli-tv-bu-vb-np9:1.40"
"pli-tv-bi-pm:57.0","missing 20 heading"
"pli-tv-bi-pm:57.1","pli-tv-bu-vb-np10:1.3.1"
"pli-tv-bi-pm:57.2","pli-tv-bu-vb-np10:1.3.2"
"pli-tv-bi-pm:57.3","pli-tv-bu-vb-np10:1.3.3"
"pli-tv-bi-pm:57.4","pli-tv-bu-vb-np10:1.3.4"
"pli-tv-bi-pm:57.5","pli-tv-bu-vb-np10:1.3.5"
"pli-tv-bi-pm:57.6","pli-tv-bu-vb-np10:1.3.6"
"pli-tv-bi-pm:57.7","pli-tv-bu-vb-np10:1.3.7"
"pli-tv-bi-pm:57.8","pli-tv-bu-vb-np10:1.3.8"
"pli-tv-bi-pm:57.9","pli-tv-bu-vb-np10:1.3.9"
"pli-tv-bi-pm:57.10","pli-tv-bu-vb-np10:1.3.10"
"pli-tv-bi-pm:57.11","pli-tv-bu-vb-np10:1.3.11"
"pli-tv-bi-pm:57.12","pli-tv-bu-vb-np10:1.3.12"
"pli-tv-bi-pm:57.13","pli-tv-bu-vb-np10:1.3.13"
"pli-tv-bi-pm:57.14","pli-tv-bu-vb-np10:1.3.14"
"pli-tv-bi-pm:57.15","pli-tv-bu-vb-np10:1.3.15"
"pli-tv-bi-pm:57.16","pli-tv-bu-vb-np10:1.3.16"
"pli-tv-bi-pm:57.17","pli-tv-bu-vb-np10:1.3.17"
"pli-tv-bi-pm:57.18","pli-tv-bu-vb-np10:1.3.18"
"pli-tv-bi-pm:57.19","pli-tv-bu-vb-np10:1.3.19"
"pli-tv-bi-pm:57.20","pli-tv-bu-vb-np10:1.3.20"
"pli-tv-bi-pm:57.21","pli-tv-bu-vb-np10:1.3.21"
"pli-tv-bi-pm:57.22","pli-tv-bu-vb-np10:1.3.22"
"pli-tv-bi-pm:57.23","The sub-chapter on robes is finished. "
"pli-tv-bi-pm:58.0.2","Relinquishment With Confession 21: Money "
"pli-tv-bi-pm:58.1","pli-tv-bu-vb-np18:1.28.1"
"pli-tv-bi-pm:59.0","Relinquishment With Confession 22: Trading With Money "
"pli-tv-bi-pm:59.1","pli-tv-bu-vb-np19:1.15.1"
"pli-tv-bi-pm:60.0","Relinquishment With Confession 23: Bartering "
"pli-tv-bi-pm:60.1","pli-tv-bu-vb-np20:1.35.1"
"pli-tv-bi-pm:61.0","Relinquishment With Confession 24: An Almsbowl With Fewer Than Five Mends "
"pli-tv-bi-pm:61.1","pli-tv-bu-vb-np22:1.3.17.1"
"pli-tv-bi-pm:61.2","pli-tv-bu-vb-np22:1.3.18"
"pli-tv-bi-pm:61.3,pli-tv-bi-pm:61.4 ","pli-tv-bu-vb-np22:1.3.19,pli-tv-bu-vb-np22:1.3.20"
"pli-tv-bi-pm:62.0","Relinquishment With Confession 25: The Five Tonics "
"pli-tv-bi-pm:62.1","pli-tv-bu-vb-np23:1.3.32.1"
"pli-tv-bi-pm:62.2","pli-tv-bu-vb-np23:1.3.33"
"pli-tv-bi-pm:63.0","Relinquishment With Confession 26: Taking Back Robe-Cloth "
"pli-tv-bi-pm:63.1","pli-tv-bu-vb-np25:1.27.1"
"pli-tv-bi-pm:64.0","Relinquishment With Confession 27: Asking for Thread "
"pli-tv-bi-pm:64.1","pli-tv-bu-vb-np26:1.23.1"
"pli-tv-bi-pm:65.0","Relinquishment With Confession 28: Bribing Weavers "
"pli-tv-bi-pm:65.1","pli-tv-bu-vb-np27:1.45.1"
"pli-tv-bi-pm:65.2","pli-tv-bu-vb-np27:1.46"
